"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"STEAP4"	1.1026359282823e-109	0.867305433840421	0.303	0.072	2.57752174595269e-105	"2"	"STEAP4"
"NFIA"	1.97379093104514e-109	0.913584280640051	0.679	0.405	4.61393368041112e-105	"2"	"NFIA"
"LYZ"	2.78300379827766e-109	-0.842645871617686	0.064	0.474	6.50554967885386e-105	"2"	"LYZ"
"CD74"	5.63113625700092e-109	-0.727113433688086	0.594	0.915	1.31633441143654e-104	"2"	"CD74"
"PLOD2"	7.38857247151874e-109	-0.804739008294095	0.131	0.543	1.72715270094222e-104	"2"	"PLOD2"
"MXRA8"	3.8282730227205e-108	-0.844822867168199	0.516	0.868	8.94897101791144e-104	"2"	"MXRA8"
"DEFB1"	1.24490028320695e-107	1.00894056961668	0.468	0.198	2.91007890202457e-103	"2"	"DEFB1"
"PTK7"	1.62549283100648e-107	-0.85006623228979	0.141	0.56	3.79975204176074e-103	"2"	"PTK7"
"MGP"	3.01345268369935e-107	0.650919335431992	0.999	0.97	7.04424699341561e-103	"2"	"MGP"
"PFN1"	6.17043531648642e-107	-0.662631101248721	0.846	0.971	1.44240095958187e-102	"2"	"PFN1"
"ACTN1"	7.6670556656458e-107	-0.798416416029554	0.379	0.781	1.79225093240136e-102	"2"	"ACTN1"
"GPX8"	1.45048002560462e-106	-0.734133424229128	0.227	0.66	3.39064210785335e-102	"2"	"GPX8"
"SMOC2"	2.41073688201271e-106	1.3535797635957	0.731	0.512	5.6353385353929e-102	"2"	"SMOC2"
"EDIL3"	2.76033069010365e-106	-0.822481482698577	0.058	0.449	6.4525490211863e-102	"2"	"EDIL3"
"FLNA"	1.77546284082053e-103	-0.840165817739387	0.478	0.835	4.15032193670206e-99	"2"	"FLNA"
"PRDX6"	5.35029773461769e-103	0.782094869321053	0.87	0.802	1.25068559844423e-98	"2"	"PRDX6"
"ARPC1B"	1.39692570830087e-102	-0.774114011679075	0.44	0.814	3.26545353572412e-98	"2"	"ARPC1B"
"CFL1"	1.6148201042418e-102	-0.649394212662599	0.877	0.976	3.77480347567564e-98	"2"	"CFL1"
"KIAA1217"	1.69879289855864e-102	-0.737195525832474	0.084	0.481	3.97109827967068e-98	"2"	"KIAA1217"
"PDLIM7"	1.71780413034827e-101	-0.821267177098438	0.286	0.693	4.01553893510212e-97	"2"	"PDLIM7"
"MIF"	5.90418092800866e-100	-0.862337507972498	0.734	0.93	1.3801613337313e-95	"2"	"MIF"
"PPAPDC1A"	1.15346321635368e-99	-0.719204984020897	0.003	0.352	2.69633561454837e-95	"2"	"PPAPDC1A"
"SLC6A6"	1.43152210723304e-99	-0.956141620493217	0.043	0.411	3.34632607786795e-95	"2"	"SLC6A6"
"TMED9"	1.77851893669282e-99	-0.747307852020281	0.401	0.781	4.15746586641313e-95	"2"	"TMED9"
"APLP2"	3.47102915031759e-99	0.872546744551331	0.691	0.483	8.1138777417824e-95	"2"	"APLP2"
"CST3"	4.35364270408899e-99	0.623582619681628	1	0.995	1.01770751850784e-94	"2"	"CST3"
"HCFC1R1"	4.7858958896118e-99	-0.820918669144146	0.435	0.803	1.11875102315566e-94	"2"	"HCFC1R1"
"ISLR"	5.05753962353301e-99	-0.957711289012821	0.496	0.839	1.18225046239708e-94	"2"	"ISLR"
